input,output
"kya yaar,traffic mein stuck ho gaya.","arre, mere ko bhi late hoga ab!"
kaunsa movie dekha tune?,"bhai, wo new one, bollywood wala."
aaj ka khana kya banaya?,"sabzi aur roti, usual stuff."
kal party hai na?,"haan yaar, tu bhi aana."
koi plans hai weekend ke?,"nahi yaar, just relaxing at home."
aapko kya problem hai?,"kuch nahi, bas tension hai."
kitne marks aaye?,"arre yaar, kuch nahi, pass to ho gaya."
kaunsa colour pasand hai?,"blue, woh ekdam calming hai."
chalo coffee peete hai.,"haan yaar, mujhe chai chahiye."
aap kya kar rahe ho?,"kya karu, time pass."
kitni der lagi journey mein?,4 hours ka travel time laga.
kya book padh raha hai?,"kuch nahi yaar, bas news dekh raha hoon."
kya new phone le raha hai?,"haan, maybe next month."
kitne paise aaye?,"kafi ache aaye, khushi ho rahi hai."
kya new show dekha?,"nahi yaar, koi interesting nahi mila."
chalo kuch shopping karte hai.,"haan yaar, khane ki shopping karna hai."
kya ghoomne ja raha hai?,"kuch nahi yaar, just chilling at home."
kitna kharcha hua?,"zyaada nahi, manageable hai."
aapka health kaisa hai?,"theek hai, thoda sa kharab lag raha hai."
"yaar,mera phone charge nahi ho raha hai.","lagta hai charger kharab ho gaya hai, kal new lena padega."
aaj movie dekhne jaayenge?,"haan yaar, kaun si movie dekhni hai?"
kya khaana banaa rahi ho?,aaj paneer tikka masala banaya hai.
"kya,office kaam zyada hai aaj?","haan yaar, deadline aane wali hai."
tu kab aayega?,"abhi to train mein hi hu, 1 ghanta mein pahunch jaunga."
"kya,ye naya phone le liya?","haan yaar, acha hai na?"
"bhaiya,aap kya kar rahe ho?","mujhe thoda time mila hai, chai peene gaya hu."
"chalo,ek cup coffee lete hain?","haan yaar, khushi khushi."
aaj bahar khana khane chale jaayenge?,"haan yaar, mujhe bahar ka khana bahut pasand hai."
"kya,cricket match dekh rahe ho?","haan yaar, india vs australia ka match chal raha hai."
"kya chal raha hai,aaj ka mood kaisa hai?","aaj to bas thoda khush hoon, kuch aacha hua hai."
"kya,kal party hai?","haan yaar, birthday party hai mere dost ki."
"kya,tumhe kuch chahiye?","nahi yaar, aabhi kuch nahi chahiye."
"kya,tumhare exams kaise gaye?","achhe gaye, umeed hai acche marks aayenge."
"kya,aaj shopping karne jaayenge?","haan yaar, kuch kapde lene hain."
